scraped_at,reported_revenue_usd,reported_tickets,avg_revenue_usd,avg_tickets,avg_price_usd,total_reports_text,source_url
2026-01-27T02:32:34+00:00,,,,,,Agency,https://touringdata.org/2025/06/19/bad-bunny-debi-tirar-mas-fotos-tour/
2026-02-02T15:02:10+00:00,,,,,,Agency,https://touringdata.org/2025/06/19/bad-bunny-debi-tirar-mas-fotos-tour/
